city,Consumer Price Index
"San Diego-Carlsbad, CA",292.55
"San Francisco-Oakland-Hayward, CA",285.55
Urban Hawaii,277.08
"Boston-Cambridge-Newton, MA-NH",275.82
"New York-Newark-Jersey City, NY-NJ-PA",273.64
"Seattle-Tacoma-Bellevue, WA",271.09
"Los Angeles-Long Beach-Anaheim, CA",265.96
"Miami-Fort Lauderdale-West Palm Beach, FL",265.07
"Denver-Aurora-Lakewood, CO",261.96
"Washington-Arlington-Alexandria, DC-VA-MD-WV",261.45
"Baltimore-Columbia-Towson, MD",253.39
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",251.56
U.S. City Average,251.11
"Minneapolis-St.Paul-Bloomington, MN-WI",244.97
"Atlanta-Sandy Springs-Roswell, GA",238.58
"Chicago-Naperville-Elgin, IL-IN-WI",237.71
"Dallas-Fort Worth-Arlington, TX",232.79
"Detroit-Warren-Dearborn, MI",232.25
"St. Louis, MO-IL",228.85
"Houston-The Woodlands-Sugar Land, TX",225.93
Urban Alaska,225.55
"Tampa-St. Petersburg-Clearwater, FL",224.26
