city,Violent crime
Mobile3,740.25
Anchorage,1203.29
Chandler,259.47
Gilbert,85.51
Glendale,488.22
Mesa,415.83
Phoenix,760.93
Scottsdale,157.24
Tucson,801.77
Anaheim,354.56
Bakersfield,479.33
Chula Vista,298.04
Fremont,182.34
Fresno,565
Irvine,61.21
Long Beach,657.83
Los Angeles,761.31
Oakland,1299.32
Riverside,508.81
Sacramento,675.6
San Bernardino,1291.09
San Diego,366.61
San Francisco,715
San Jose,403.65
Santa Ana,488.53
Santa Clarita,162.7
Stockton4,1414.56
Aurora,608.39
Colorado Springs,524.15
Denver,675.61
Washington,948.74
Hialeah,198.52
Jacksonville,631.32
Miami,720.94
Orlando,744.06
St. Petersburg,698.49
Tampa,464.41
Atlanta,935.72
Savannah-Chatham Metropolitan,462.66
Honolulu,246.37
Boise,279.16
Chicago,1098.86
Fort Wayne,357.55
Indianapolis,1333.96
Des Moines,670.11
Wichita,1022.29
Lexington,350.88
Louisville Metro6,647.03
Baton Rouge,1026.81
New Orleans,1121.41
Baltimore,2027.01
Boston,669.2
Detroit,2056.67
Minneapolis,1101.27
St. Paul,650.81
Kansas City,1724.31
St. Louis,2082.29
Omaha,647.32
Henderson,185.11
Las Vegas Metropolitan Police Department,618.9
North Las Vegas,1014.69
Reno,673.56
Jersey City,509.51
Newark,896.45
Albuquerque,1369.14
Buffalo,1019.25
New York,538.9
Charlotte-Mecklenburg,
Durham,
Greensboro,
Cincinnati,947.12
Cleveland,1556.76
Columbus,513.41
"Toledo4,5,7",
Oklahoma City,787.34
Tulsa,1040.83
Portland,515.7
Philadelphia,947.58
Pittsburgh,656.36
Memphis,2003.32
Nashville Metropolitan,1138.17
Arlington4,516.89
Austin,414.84
Corpus Christi,702.49
Dallas,774.64
El Paso,378.85
Fort Worth,560.21
Garland,316.62
Houston,1095.23
Irving,226.8
Laredo,321.86
Plano,149.79
San Antonio,707.5
Chesapeake,418.96
Norfolk,555.9
Virginia Beach,137.56
Seattle,632.69
Spokane,626.54
Madison,374.44
Milwaukee,1597.36
