"","Metro","Month","Dimension","Median Base Pay"
"1","Atlanta","2017-06","Accounting & Legal","53212.0"
"2","Atlanta","2017-06","Aerospace & Defense","55205.0"
"3","Atlanta","2017-06","Architecture & Civil Engineering","53634.0"
"4","Atlanta","2017-06","Arts & Entertainment","47485.0"
"5","Atlanta","2017-06","Automotive","47712.0"
"6","Atlanta","2017-06","Banking & Financial Services","51981.0"
"7","Atlanta","2017-06","Beauty & Fitness","46417.0"
"8","Atlanta","2017-06","Biotech & Pharmaceuticals","55684.0"
"9","Atlanta","2017-06","Business Services","50237.0"
"10","Atlanta","2017-06","Computer Software & Hardware","53731.0"
"11","Atlanta","2017-06","Construction","53242.0"
"12","Atlanta","2017-06","Consulting","52773.0"
"13","Atlanta","2017-06","Consumer Electronics","44870.0"
"14","Atlanta","2017-06","Consumer Services","46612.0"
"15","Atlanta","2017-06","Education & Schools","47628.0"
"16","Atlanta","2017-06","Energy & Utilities","57978.0"
"17","Atlanta","2017-06","Facilities","47572.0"
"18","Atlanta","2017-06","Farming & Agriculture","51173.0"
"19","Atlanta","2017-06","Government","51987.0"
"20","Atlanta","2017-06","Health Care & Hospitals","50832.0"
"21","Atlanta","2017-06","Information Technology","51715.0"
"22","Atlanta","2017-06","Insurance","51878.0"
"23","Atlanta","2017-06","Internet & Tech","52720.0"
"24","Atlanta","2017-06","Manufacturing","53414.0"
"25","Atlanta","2017-06","Marketing & Advertising","49277.0"
"26","Atlanta","2017-06","Media & Publishing","50048.0"
"27","Atlanta","2017-06","Nonprofit","47082.0"
"28","Atlanta","2017-06","Private Security","46970.0"
"29","Atlanta","2017-06","Real Estate","49972.0"
"30","Atlanta","2017-06","Recruiting & Staffing","49282.0"
"31","Atlanta","2017-06","Restaurants & Bars","47955.0"
"32","Atlanta","2017-06","Retail","47253.0"
"33","Atlanta","2017-06","Supermarkets","49013.0"
"34","Atlanta","2017-06","Telecommunications","50895.0"
"35","Atlanta","2017-06","Transportation & Logistics","50460.0"
"36","Atlanta","2017-06","Travel & Tourism","48119.0"
"37","Atlanta","2017-06","Wholesale","50918.0"
"38","Atlanta","2017-07","Accounting & Legal","53855.0"
"39","Atlanta","2017-07","Aerospace & Defense","55771.0"
"40","Atlanta","2017-07","Architecture & Civil Engineering","54371.0"
"41","Atlanta","2017-07","Arts & Entertainment","48053.0"
"42","Atlanta","2017-07","Automotive","48387.0"
"43","Atlanta","2017-07","Banking & Financial Services","52605.0"
"44","Atlanta","2017-07","Beauty & Fitness","47237.0"
"45","Atlanta","2017-07","Biotech & Pharmaceuticals","56401.0"
"46","Atlanta","2017-07","Business Services","50728.0"
"47","Atlanta","2017-07","Computer Software & Hardware","54193.0"
"48","Atlanta","2017-07","Construction","53662.0"
"49","Atlanta","2017-07","Consulting","53457.0"
"50","Atlanta","2017-07","Consumer Electronics","45617.0"
"51","Atlanta","2017-07","Consumer Services","47063.0"
"52","Atlanta","2017-07","Education & Schools","48059.0"
"53","Atlanta","2017-07","Energy & Utilities","58536.0"
"54","Atlanta","2017-07","Facilities","48268.0"
"55","Atlanta","2017-07","Farming & Agriculture","51653.0"
"56","Atlanta","2017-07","Government","52711.0"
"57","Atlanta","2017-07","Health Care & Hospitals","51489.0"
"58","Atlanta","2017-07","Information Technology","52464.0"
"59","Atlanta","2017-07","Insurance","52454.0"
