"","Metro","Dimension.Type","Month","Dimension","Measure","Value","YoY"
"127","Atlanta","Job Title","2019-03","Accountant","Median Base Pay","$58,636 ","2.20%"
"128","Atlanta","Job Title","2019-03","Administrative Assistant","Median Base Pay","$43,293 ","1.90%"
"129","Atlanta","Job Title","2019-03","Attorney","Median Base Pay","$105,593 ","-2.20%"
"130","Atlanta","Job Title","2019-03","Bank Teller","Median Base Pay","$33,229 ","6.70%"
"131","Atlanta","Job Title","2019-03","Barista","Median Base Pay","$23,601 ","3.90%"
"132","Atlanta","Job Title","2019-03","Bartender","Median Base Pay","$36,858 ","14.10%"
"133","Atlanta","Job Title","2019-03","Business Analyst","Median Base Pay","$72,816 ","1.80%"
"134","Atlanta","Job Title","2019-03","Business Development Manager","Median Base Pay","$73,751 ","0.80%"
"135","Atlanta","Job Title","2019-03","Buyer","Median Base Pay","$60,581 ","2.80%"
"136","Atlanta","Job Title","2019-03","Cashier","Median Base Pay","$27,135 ","6.20%"
"137","Atlanta","Job Title","2019-03","Certified Nursing Assistant","Median Base Pay","$27,396 ","3.60%"
"138","Atlanta","Job Title","2019-03","Civil Engineer","Median Base Pay","$69,189 ","1.90%"
"139","Atlanta","Job Title","2019-03","Claims Adjuster","Median Base Pay","$51,587 ","4.90%"
"140","Atlanta","Job Title","2019-03","Communications Manager","Median Base Pay","$74,142 ","3.00%"
"141","Atlanta","Job Title","2019-03","Construction Laborer","Median Base Pay","$37,499 ","2.60%"
"142","Atlanta","Job Title","2019-03","Consultant","Median Base Pay","$86,999 ","2.20%"
"143","Atlanta","Job Title","2019-03","Customer Service Manager","Median Base Pay","$54,148 ","1.90%"
"144","Atlanta","Job Title","2019-03","Customer Service Representative","Median Base Pay","$38,431 ","3.00%"
"145","Atlanta","Job Title","2019-03","Data Analyst","Median Base Pay","$66,680 ","2.70%"
"146","Atlanta","Job Title","2019-03","Data Scientist","Median Base Pay","$98,690 ","-0.70%"
"147","Atlanta","Job Title","2019-03","Delivery Driver","Median Base Pay","$40,105 ","2.20%"
"148","Atlanta","Job Title","2019-03","Design Engineer","Median Base Pay","$72,376 ","1.30%"
"149","Atlanta","Job Title","2019-03","Electrical Engineer","Median Base Pay","$79,713 ","2.90%"
"150","Atlanta","Job Title","2019-03","Emergency Medical Technician","Median Base Pay","$37,836 ","3.20%"
"151","Atlanta","Job Title","2019-03","Field Engineer","Median Base Pay","$67,611 ","0.50%"
"152","Atlanta","Job Title","2019-03","Financial Advisor","Median Base Pay","$53,058 ","-2.60%"
"153","Atlanta","Job Title","2019-03","Financial Analyst","Median Base Pay","$65,726 ","0.70%"
"154","Atlanta","Job Title","2019-03","Graphic Designer","Median Base Pay","$51,362 ","1.60%"
"155","Atlanta","Job Title","2019-03","Human Resources Manager","Median Base Pay","$77,384 ","2.20%"
"156","Atlanta","Job Title","2019-03","Insurance Agent","Median Base Pay","$38,499 ","-2.50%"
"157","Atlanta","Job Title","2019-03","IT Manager","Median Base Pay","$98,563 ","1.40%"
"158","Atlanta","Job Title","2019-03","Java Developer","Median Base Pay","$81,928 ","2.60%"
"159","Atlanta","Job Title","2019-03","Licensed Practical Nurse","Median Base Pay","$44,441 ","1.90%"
"160","Atlanta","Job Title","2019-03","Loan Officer","Median Base Pay","$45,520 ","-1.70%"
"161","Atlanta","Job Title","2019-03","Machine Operator","Median Base Pay","$37,505 ","2.70%"
"162","Atlanta","Job Title","2019-03","Maintenance Technician","Median Base Pay","$48,087 ","2.10%"
"163","Atlanta","Job Title","2019-03","Maintenance Worker","Median Base Pay","$38,301 ","2.00%"
"164","Atlanta","Job Title","2019-03","Manufacturing Engineer","Median Base Pay","$74,410 ","2.00%"
"165","Atlanta","Job Title","2019-03","Marketing Manager","Median Base Pay","$76,258 ","0.10%"
"166","Atlanta","Job Title","2019-03","Material Handler","Median Base Pay","$35,627 ","5.00%"
"167","Atlanta","Job Title","2019-03","Mechanical Engineer","Median Base Pay","$75,840 ","1.20%"
"168","Atlanta","Job Title","2019-03","Medical Assistant","Median Base Pay","$34,457 ","1.40%"
"169","Atlanta","Job Title","2019-03","Medical Technologist","Median Base Pay","$58,330 ","2.30%"
"170","Atlanta","Job Title","2019-03","Office Manager","Median Base Pay","$49,699 ","5.00%"
"171","Atlanta","Job Title","2019-03","Operations Analyst","Median Base Pay","$58,096 ","2.40%"
"172","Atlanta","Job Title","2019-03","Operations Manager","Median Base Pay","$72,888 ","1.90%"
"173","Atlanta","Job Title","2019-03","Paralegal","Median Base Pay","$55,607 ","3.10%"
"174","Atlanta","Job Title","2019-03","Pharmacist","Median Base Pay","$118,648 ","0.10%"
"175","Atlanta","Job Title","2019-03","Pharmacy Technician","Median Base Pay","$30,268 ","7.80%"
"176","Atlanta","Job Title","2019-03","Physical Therapist","Median Base Pay","$77,533 ","1.60%"
"177","Atlanta","Job Title","2019-03","Process Engineer","Median Base Pay","$80,029 ","1.70%"
"178","Atlanta","Job Title","2019-03","Producer","Median Base Pay","$63,121 ","5.10%"
"179","Atlanta","Job Title","2019-03","Product Manager","Median Base Pay","$100,699 ","1.60%"
"180","Atlanta","Job Title","2019-03","Production Manager","Median Base Pay","$69,166 ","2.30%"
"181","Atlanta","Job Title","2019-03","Professor","Median Base Pay","$90,839 ","1.20%"
"182","Atlanta","Job Title","2019-03","Program Manager","Median Base Pay","$83,254 ","0.30%"
"183","Atlanta","Job Title","2019-03","Programmer Analyst","Median Base Pay","$75,048 ","2.20%"
"184","Atlanta","Job Title","2019-03","Project Manager","Median Base Pay","$79,467 ","1.10%"
"185","Atlanta","Job Title","2019-03","Property Manager","Median Base Pay","$57,045 ","3.80%"
"186","Atlanta","Job Title","2019-03","Quality Engineer","Median Base Pay","$71,555 ","1.80%"
"187","Atlanta","Job Title","2019-03","Recruiter","Median Base Pay","$53,553 ","2.00%"
"188","Atlanta","Job Title","2019-03","Registered Nurse","Median Base Pay","$66,412 ","2.20%"
"189","Atlanta","Job Title","2019-03","Research Assistant","Median Base Pay","$30,802 ","3.90%"
"190","Atlanta","Job Title","2019-03","Restaurant Cook","Median Base Pay","$27,254 ","1.40%"
"191","Atlanta","Job Title","2019-03","Restaurant Manager","Median Base Pay","$52,310 ","1.10%"
"192","Atlanta","Job Title","2019-03","Retail Key Holder","Median Base Pay","$29,599 ","3.10%"
"193","Atlanta","Job Title","2019-03","Sales Manager","Median Base Pay","$67,466 ","0.20%"
"194","Atlanta","Job Title","2019-03","Sales Representative","Median Base Pay","$52,580 ","4.00%"
"195","Atlanta","Job Title","2019-03","Security Officer","Median Base Pay","$33,563 ","4.60%"
"196","Atlanta","Job Title","2019-03","Server","Median Base Pay","$33,956 ","1.90%"
"197","Atlanta","Job Title","2019-03","Software Engineer","Median Base Pay","$86,610 ","2.50%"
"198","Atlanta","Job Title","2019-03","Solutions Architect","Median Base Pay","$116,071 ","2.80%"
"199","Atlanta","Job Title","2019-03","Store Manager","Median Base Pay","$52,241 ","1.40%"
"200","Atlanta","Job Title","2019-03","Systems Engineer","Median Base Pay","$80,640 ","1.90%"
"201","Atlanta","Job Title","2019-03","Tax Manager","Median Base Pay","$98,562 ","1.60%"
"202","Atlanta","Job Title","2019-03","Teacher","Median Base Pay","$49,837 ","2.20%"
"203","Atlanta","Job Title","2019-03","Technical Editor","Median Base Pay","$54,566 ","1.90%"
"204","Atlanta","Job Title","2019-03","Technical Support","Median Base Pay","$45,301 ","3.40%"
"205","Atlanta","Job Title","2019-03","Technician","Median Base Pay","$45,439 ","2.20%"
"206","Atlanta","Job Title","2019-03","Truck Driver","Median Base Pay","$55,361 ","5.90%"
"207","Atlanta","Job Title","2019-03","UX Designer","Median Base Pay","$82,596 ","1.60%"
"208","Atlanta","Job Title","2019-03","Warehouse Associate","Median Base Pay","$40,334 ","2.90%"
"209","Atlanta","Job Title","2019-03","Web Designer","Median Base Pay","$63,024 ","-1.30%"
"210","Atlanta","Job Title","2019-03","Web Developer","Median Base Pay","$76,748 ","3.00%"
"211","New York City","Job Title","2019-03","Accountant","Median Base Pay","$64,957 ","2.00%"
"212","New York City","Job Title","2019-03","Administrative Assistant","Median Base Pay","$51,315 ","1.70%"
"213","New York City","Job Title","2019-03","Attorney","Median Base Pay","$129,652 ","-2.40%"
"214","New York City","Job Title","2019-03","Bank Teller","Median Base Pay","$36,026 ","6.50%"
"215","New York City","Job Title","2019-03","Barista","Median Base Pay","$29,049 ","3.60%"
"216","New York City","Job Title","2019-03","Bartender","Median Base Pay","$41,131 ","13.80%"
"217","New York City","Job Title","2019-03","Business Analyst","Median Base Pay","$81,460 ","1.50%"
"218","New York City","Job Title","2019-03","Business Development Manager","Median Base Pay","$83,043 ","0.50%"
"219","New York City","Job Title","2019-03","Buyer","Median Base Pay","$72,658 ","2.50%"
"220","New York City","Job Title","2019-03","Cashier","Median Base Pay","$30,460 ","5.90%"
"221","New York City","Job Title","2019-03","Certified Nursing Assistant","Median Base Pay","$37,934 ","3.40%"
"222","New York City","Job Title","2019-03","Civil Engineer","Median Base Pay","$78,421 ","1.70%"
"223","New York City","Job Title","2019-03","Claims Adjuster","Median Base Pay","$59,372 ","4.70%"
"224","New York City","Job Title","2019-03","Communications Manager","Median Base Pay","$86,351 ","2.70%"
"225","New York City","Job Title","2019-03","Construction Laborer","Median Base Pay","$49,165 ","2.30%"
"226","New York City","Job Title","2019-03","Consultant","Median Base Pay","$92,498 ","1.90%"
"227","New York City","Job Title","2019-03","Customer Service Manager","Median Base Pay","$61,352 ","1.60%"
"228","New York City","Job Title","2019-03","Customer Service Representative","Median Base Pay","$44,079 ","2.70%"
"229","New York City","Job Title","2019-03","Data Analyst","Median Base Pay","$72,986 ","2.40%"
"230","New York City","Job Title","2019-03","Data Scientist","Median Base Pay","$113,051 ","-0.90%"
"231","New York City","Job Title","2019-03","Delivery Driver","Median Base Pay","$42,847 ","2.00%"
"232","New York City","Job Title","2019-03","Design Engineer","Median Base Pay","$80,378 ","1.00%"
"233","New York City","Job Title","2019-03","Electrical Engineer","Median Base Pay","$82,256 ","2.60%"
"234","New York City","Job Title","2019-03","Emergency Medical Technician","Median Base Pay","$40,085 ","3.00%"
"235","New York City","Job Title","2019-03","Field Engineer","Median Base Pay","$74,488 ","0.30%"
"236","New York City","Job Title","2019-03","Financial Advisor","Median Base Pay","$60,424 ","-2.80%"
