"","Metro","Month","Dimension","Median Base Pay"
"1","Atlanta","2017-06","<51","47247.0"
"2","Atlanta","2017-06","1001-5000","52083.0"
"3","Atlanta","2017-06","201-500","50093.0"
"4","Atlanta","2017-06","5000+","53010.0"
"5","Atlanta","2017-06","501-1000","50842.0"
"6","Atlanta","2017-06","51-200","48980.0"
"7","Atlanta","2017-07","<51","47749.0"
"8","Atlanta","2017-07","1001-5000","52670.0"
"9","Atlanta","2017-07","201-500","50669.0"
"10","Atlanta","2017-07","5000+","53666.0"
"11","Atlanta","2017-07","501-1000","51453.0"
"12","Atlanta","2017-07","51-200","49591.0"
"13","Atlanta","2017-08","<51","48154.0"
"14","Atlanta","2017-08","1001-5000","53124.0"
"15","Atlanta","2017-08","201-500","51049.0"
"16","Atlanta","2017-08","5000+","54014.0"
"17","Atlanta","2017-08","501-1000","51838.0"
"18","Atlanta","2017-08","51-200","50000.0"
"19","Atlanta","2017-09","<51","47506.0"
"20","Atlanta","2017-09","1001-5000","52496.0"
"21","Atlanta","2017-09","201-500","50406.0"
"22","Atlanta","2017-09","5000+","53323.0"
"23","Atlanta","2017-09","501-1000","51123.0"
"24","Atlanta","2017-09","51-200","49322.0"
"25","Atlanta","2017-10","<51","47285.0"
"26","Atlanta","2017-10","1001-5000","52419.0"
"27","Atlanta","2017-10","201-500","50200.0"
"28","Atlanta","2017-10","5000+","53099.0"
"29","Atlanta","2017-10","501-1000","50878.0"
"30","Atlanta","2017-10","51-200","49266.0"
"31","Atlanta","2017-11","<51","47625.0"
"32","Atlanta","2017-11","1001-5000","52588.0"
"33","Atlanta","2017-11","201-500","50564.0"
"34","Atlanta","2017-11","5000+","53437.0"
"35","Atlanta","2017-11","501-1000","51389.0"
"36","Atlanta","2017-11","51-200","49622.0"
"37","Atlanta","2017-12","<51","47311.0"
"38","Atlanta","2017-12","1001-5000","52196.0"
"39","Atlanta","2017-12","201-500","50246.0"
"40","Atlanta","2017-12","5000+","53099.0"
"41","Atlanta","2017-12","501-1000","51056.0"
"42","Atlanta","2017-12","51-200","49330.0"
"43","Atlanta","2018-01","<51","48543.0"
