"","Metro","Month","Dimension","Job Openings","Median Base Pay"
"1","Atlanta","2014-03","Metro Median Base Pay",NA,"50888.666666666701"
"2","Atlanta","2014-04","Metro Median Base Pay",NA,"50654.666666666701"
"3","Atlanta","2014-05","Metro Median Base Pay",NA,"50735.333333333299"
"4","Atlanta","2014-06","Metro Median Base Pay",NA,"50518"
"5","Atlanta","2014-07","Metro Median Base Pay",NA,"50490.666666666701"
"6","Atlanta","2014-08","Metro Median Base Pay",NA,"50502"
"7","Atlanta","2014-09","Metro Median Base Pay",NA,"50630.333333333299"
"8","Atlanta","2014-10","Metro Median Base Pay",NA,"50907.333333333299"
"9","Atlanta","2014-11","Metro Median Base Pay",NA,"51021.333333333299"
"10","Atlanta","2014-12","Metro Median Base Pay",NA,"51026"
"11","Atlanta","2015-01","Metro Median Base Pay",NA,"51065.333333333299"
"12","Atlanta","2015-02","Metro Median Base Pay",NA,"51014.666666666701"
"13","Atlanta","2015-03","Metro Median Base Pay",NA,"51217.333333333299"
"14","Atlanta","2015-04","Metro Median Base Pay",NA,"51047.666666666701"
"15","Atlanta","2015-05","Metro Median Base Pay",NA,"51235"
"16","Atlanta","2015-06","Metro Median Base Pay",NA,"51248.666666666701"
"17","Atlanta","2015-07","Metro Median Base Pay",NA,"51345.333333333299"
"18","Atlanta","2015-08","Metro Median Base Pay",NA,"51321.666666666701"
"19","Atlanta","2015-09","Metro Median Base Pay",NA,"51196.333333333299"
"20","Atlanta","2015-10","Metro Median Base Pay",NA,"51377"
"21","Atlanta","2015-11","Metro Median Base Pay",NA,"51435"
"22","Atlanta","2015-12","Metro Median Base Pay",NA,"51535"
"23","Atlanta","2016-01","Metro Median Base Pay",NA,"51569"
"24","Atlanta","2016-01-04","Job Openings",NA,NA
"25","Atlanta","2016-01-11","Job Openings",NA,NA
"26","Atlanta","2016-01-18","Job Openings",NA,NA
"27","Atlanta","2016-01-25","Job Openings","87709.75",NA
"28","Atlanta","2016-02","Metro Median Base Pay",NA,"51836.333333333299"
"29","Atlanta","2016-02-01","Job Openings","88605",NA
"30","Atlanta","2016-02-08","Job Openings","89277.5",NA
"31","Atlanta","2016-02-15","Job Openings","89980.75",NA
"32","Atlanta","2016-02-22","Job Openings","90106",NA
"33","Atlanta","2016-02-29","Job Openings","90132.5",NA
"34","Atlanta","2016-03","Metro Median Base Pay",NA,"51912.333333333299"
"35","Atlanta","2016-03-07","Job Openings","90708.75",NA
"36","Atlanta","2016-03-14","Job Openings","91521.25",NA
"37","Atlanta","2016-03-21","Job Openings","93037.25",NA
