"","Metro","Month","Dimension","Median Base Pay"
"1","National","2017-06","<51","46028.0"
"2","National","2017-06","1001-5000","50739.0"
"3","National","2017-06","201-500","48801.0"
"4","National","2017-06","5000+","51642.0"
"5","National","2017-06","501-1000","49530.0"
"6","National","2017-06","51-200","47716.0"
"7","National","2017-07","<51","45820.0"
"8","National","2017-07","1001-5000","50542.0"
"9","National","2017-07","201-500","48623.0"
"10","National","2017-07","5000+","51498.0"
"11","National","2017-07","501-1000","49375.0"
"12","National","2017-07","51-200","47588.0"
"13","National","2017-08","<51","46815.0"
"14","National","2017-08","1001-5000","51646.0"
"15","National","2017-08","201-500","49629.0"
"16","National","2017-08","5000+","52511.0"
"17","National","2017-08","501-1000","50396.0"
"18","National","2017-08","51-200","48609.0"
"19","National","2017-09","<51","46301.0"
"20","National","2017-09","1001-5000","51165.0"
"21","National","2017-09","201-500","49127.0"
"22","National","2017-09","5000+","51970.0"
"23","National","2017-09","501-1000","49826.0"
"24","National","2017-09","51-200","48071.0"
"25","National","2017-10","<51","46161.0"
"26","National","2017-10","1001-5000","51173.0"
"27","National","2017-10","201-500","49007.0"
"28","National","2017-10","5000+","51837.0"
"29","National","2017-10","501-1000","49668.0"
"30","National","2017-10","51-200","48095.0"
"31","National","2017-11","<51","45849.0"
"32","National","2017-11","1001-5000","50626.0"
"33","National","2017-11","201-500","48678.0"
"34","National","2017-11","5000+","51443.0"
"35","National","2017-11","501-1000","49472.0"
"36","National","2017-11","51-200","47771.0"
"37","National","2017-12","<51","46184.0"
"38","National","2017-12","1001-5000","50953.0"
"39","National","2017-12","201-500","49049.0"
"40","National","2017-12","5000+","51834.0"
"41","National","2017-12","501-1000","49840.0"
"42","National","2017-12","51-200","48155.0"
"43","National","2018-01","<51","46517.0"
"44","National","2018-01","1001-5000","51280.0"
"45","National","2018-01","201-500","49379.0"
"46","National","2018-01","5000+","52155.0"
"47","National","2018-01","501-1000","50166.0"
"48","National","2018-01","51-200","48497.0"
"49","National","2018-02","<51","47019.0"
"50","National","2018-02","1001-5000","51629.0"
"51","National","2018-02","201-500","49845.0"
"52","National","2018-02","5000+","52696.0"
"53","National","2018-02","501-1000","50642.0"
"54","National","2018-02","51-200","48894.0"
"55","National","2018-03","<51","46881.0"
"56","National","2018-03","1001-5000","51556.0"
"57","National","2018-03","201-500","49705.0"
"58","National","2018-03","5000+","52528.0"
"59","National","2018-03","501-1000","50450.0"
"60","National","2018-03","51-200","48781.0"
"61","National","2018-04","<51","46837.0"
"62","National","2018-04","1001-5000","51798.0"
"63","National","2018-04","201-500","49756.0"
"64","National","2018-04","5000+","52373.0"
"65","National","2018-04","501-1000","50500.0"
"66","National","2018-04","51-200","48812.0"
"67","National","2018-05","<51","47052.0"
"68","National","2018-05","1001-5000","52038.0"
"69","National","2018-05","201-500","49989.0"
"70","National","2018-05","5000+","52581.0"
"71","National","2018-05","501-1000","50712.0"
"72","National","2018-05","51-200","49002.0"
"73","National","2018-06","<51","47084.0"
"74","National","2018-06","1001-5000","52066.0"
"75","National","2018-06","201-500","49990.0"
"76","National","2018-06","5000+","52561.0"
"77","National","2018-06","501-1000","50708.0"
"78","National","2018-06","51-200","49004.0"
"79","National","2018-07","<51","47227.0"
"80","National","2018-07","1001-5000","52204.0"
"81","National","2018-07","201-500","50110.0"
"82","National","2018-07","5000+","52834.0"
"83","National","2018-07","501-1000","50860.0"
"84","National","2018-07","51-200","49156.0"
"85","National","2018-08","<51","47278.0"
"86","National","2018-08","1001-5000","52263.0"
"87","National","2018-08","201-500","50284.0"
"88","National","2018-08","5000+","52890.0"
"89","National","2018-08","501-1000","50874.0"
"90","National","2018-08","51-200","49240.0"
"91","National","2018-09","<51","47591.0"
"92","National","2018-09","1001-5000","52581.0"
"93","National","2018-09","201-500","50605.0"
"94","National","2018-09","5000+","53227.0"
"95","National","2018-09","501-1000","51177.0"
"96","National","2018-09","51-200","49536.0"
"97","National","2018-10","<51","47602.0"
"98","National","2018-10","1001-5000","52588.0"
"99","National","2018-10","201-500","50653.0"
"100","National","2018-10","5000+","53227.0"
"101","National","2018-10","501-1000","51219.0"
"102","National","2018-10","51-200","49571.0"
"103","National","2018-12","<51","47383"
"104","National","2018-12","1001-5000","52333"
"105","National","2018-12","201-500","50454"
"106","National","2018-12","5000+","53002"
"107","National","2018-12","501-1000","51044"
"108","National","2018-12","51-200","49326"
"109","National","2019-01","<51","47853"
"110","National","2019-01","1001-5000","52830"
"111","National","2019-01","201-500","50902"
"112","National","2019-01","5000+","53558"
"113","National","2019-01","501-1000","51525"
"114","National","2019-01","51-200","49826"
"115","National","2019-02","<51","47572"
"116","National","2019-02","1001-5000","52534"
"117","National","2019-02","201-500","50490"
"118","National","2019-02","5000+","53061"
"119","National","2019-02","501-1000","51150"
"120","National","2019-02","51-200","49440"
"121","National","2019-03","<51","48137"
"122","National","2019-03","1001-5000","53126"
"123","National","2019-03","201-500","51125"
"124","National","2019-03","5000+","53569"
"125","National","2019-03","501-1000","51756"
"126","National","2019-03","51-200","49948"
