"","Metro","Dimension.Type","Month","Dimension","Measure","Value","YoY"
"2188","National","Timeseries","2016-01-04","Job Openings","Job Openings",NA,NA
"2189","National","Timeseries","2016-01-11","Job Openings","Job Openings",NA,NA
"2190","National","Timeseries","2016-01-18","Job Openings","Job Openings",NA,NA
"2191","National","Timeseries","2016-01-25","Job Openings","Job Openings","4783623.5",NA
"2192","National","Timeseries","2016-02-01","Job Openings","Job Openings","4801222.25",NA
"2193","National","Timeseries","2016-02-08","Job Openings","Job Openings","4845366.75",NA
"2194","National","Timeseries","2016-02-15","Job Openings","Job Openings","4909666.25",NA
"2195","National","Timeseries","2016-02-22","Job Openings","Job Openings","4935625.75",NA
"2196","National","Timeseries","2016-02-29","Job Openings","Job Openings","4954972",NA
"2197","National","Timeseries","2016-03-07","Job Openings","Job Openings","4982967.75",NA
"2198","National","Timeseries","2016-03-14","Job Openings","Job Openings","5004966.75",NA
"2199","National","Timeseries","2016-03-21","Job Openings","Job Openings","5053088.75",NA
"2200","National","Timeseries","2016-03-28","Job Openings","Job Openings","5023816",NA
"2201","National","Timeseries","2016-04-04","Job Openings","Job Openings","4941617.5",NA
"2202","National","Timeseries","2016-04-11","Job Openings","Job Openings","4845343.75",NA
"2203","National","Timeseries","2016-04-18","Job Openings","Job Openings","4750624",NA
"2204","National","Timeseries","2016-04-25","Job Openings","Job Openings","4726175",NA
"2205","National","Timeseries","2016-05-02","Job Openings","Job Openings","4741377.25",NA
"2206","National","Timeseries","2016-05-09","Job Openings","Job Openings","4758990.5",NA
"2207","National","Timeseries","2016-05-16","Job Openings","Job Openings","4790269.75",NA
"2208","National","Timeseries","2016-05-23","Job Openings","Job Openings","4793777.25",NA
"2209","National","Timeseries","2016-05-30","Job Openings","Job Openings","4798970",NA
"2210","National","Timeseries","2016-06-06","Job Openings","Job Openings","4800323.75",NA
"2211","National","Timeseries","2016-06-13","Job Openings","Job Openings","4788841.75",NA
"2212","National","Timeseries","2016-06-20","Job Openings","Job Openings","4808578.25",NA
"2213","National","Timeseries","2016-06-27","Job Openings","Job Openings","4825135.25",NA
"2214","National","Timeseries","2016-07-04","Job Openings","Job Openings","4840058.75",NA
"2215","National","Timeseries","2016-07-11","Job Openings","Job Openings","4856040.5",NA
"2216","National","Timeseries","2016-07-18","Job Openings","Job Openings","4862634.25",NA
