"","city","jo_ba"
"1","New York",378
"2","Washington",245
"3","Fort Lee",196
"4","Iron Mountain",187
"5","Indianapolis",185
"6","Beloit",161
"7","New Castle",151
"8","Scottsdale",111
"9","Newburyport",108
"10","Jersey",103
"11","San Francisco",43
"12","Chicago",42
"13","Columbia",42
"14","Pittsburgh",28
"15","Seattle",28
"16","Austin",24
"17","Los Angeles",23
"18","Atlanta",21
"19","Dallas",17
"20","San Antonio",16
"21","Southbury",16
"22","Houston",15
"23","Arlington",14
"24","Boston",14
"25","Cincinnati",14
"26","Colorado Springs",14
"27","San Diego",14
"28","Denver",13
"29","Eagan",13
"30","Irvine",13
"31","Madison",13
"32","Albany",12
"33","Buffalo",12
"34","Elgin",12
"35","Minneapolis",12
"36","Newark",12
"37","Sacramento",12
"38","Overland Park",11
"39","Pleasanton",11
"40","Sunnyvale",11
"41","Topeka",11
"42","Englewood",10
"43","Redmond",10
"44","Richmond",10
"45","Walnut Creek",10
"46","Deerfield",9
"47","Detroit",9
"48","Phoenix",9
"49","Roswell",9
"50","Tampa",9
"51","Columbus",8
"52","Kansas City",8
"53","Memphis",8
"54","New Orleans",8
"55","North Kansas City",8
"56","Rockville",8
"57","Salt Lake City",8
"58","Alexandria",7
"59","Baltimore",7
"60","Charlotte",7
"61","Franklin",7
"62","Lawrence",7
"63","Oshkosh",7
"64","Pasadena",7
"65","Philadelphia",7
"66","Raleigh",7
"67","Redlands",7
"68","Riverwoods",7
"69","Woodland Hills",7
"70","Ave Maria",6
"71","Bethesda",6
"72","Highlands Ranch",6
"73","Jersey City",6
"74","Las Vegas",6
"75","Milwaukee",6
"76","Monroe",6
"77","Mount Laurel",6
"78","North Las Vegas",6
"79","Oakland",6
"80","Quincy",6
"81","Tucson",6
"82","Wilmington",6
"83","Baton Rouge",5
"84","Beaverton",5
"85","Bellevue",5
"86","Eden Prairie",5
"87","Falls Church",5
"88","Lake Mary",5
"89","Nashville",5
"90","New Albany",5
"91","Reno",5
"92","San Jose",5
"93","San Juan",5
"94","Somerset",5
"95","St. Louis",5
"96","Woodbridge",5
"97","Aiken",4
"98","Boise",4
"99","Burbank",4
"100","Dublin",4
"101","East Hanover",4
"102","Jackson",4
"103","Lehi",4
"104","Lincoln",4
"105","Marietta",4
"106","Merrimack",4
"107","Miami",4
"108","Oklahoma City",4
"109","Orlando",4
"110","Plano",4
"111","Portland",4
"112","Redwood City",4
"113","Rochester",4
"114","Scott AFB",4
"115","Sioux Falls",4
"116","Waltham",4
"117","Aliso Viejo",3
"118","Alpharetta",3
"119","Anaheim",3
"120","Ashburn",3
"121","Bloomington",3
"122","Brookfield",3
"123","Brooklyn",3
"124","Cambridge",3
"125","Chandler",3
"126","Chantilly",3
"127","Clemson",3
"128","Davenport",3
"129","Evanston",3
"130","Fairfax",3
"131","Fairfield",3
"132","Honolulu",3
"133","Hoover",3
"134","Jacksonville",3
"135","Juno Beach",3
"136","Monmouth Junction",3
"137","Naperville",3
"138","Princeton",3
"139","Reston",3
"140","Rolling Meadows",3
"141","Santa Clara",3
