"","city","jo_fa"
"1","Cincinnati",135
"2","Washington",132
"3","Columbus",131
"4","Cleveland",124
"5","Portland",122
"6","Winston-Salem",105
"7","Onamia",90
"8","Philadelphia",73
"9","Everett",59
"10","Chicago",56
"11","New York",55
"12","Fort Walton Beach",50
"13","New Rochelle",43
"14","Joliet",38
"15","Atlanta",35
"16","San Diego",32
"17","Dallas",28
"18","San Francisco",27
"19","Houston",23
"20","Greensboro",22
"21","Denver",20
"22","Indianapolis",20
"23","Glen Mills",19
"24","Seattle",18
"25","Arlington",17
"26","Austin",16
"27","Los Angeles",16
"28","Herndon",13
"29","Salt Lake City",13
"30","Baltimore",12
"31","Falls Church",12
"32","Honolulu",12
"33","Orlando",12
"34","Phoenix",12
"35","Tampa",12
"36","Eugene",11
"37","Irvine",11
"38","Santa Clara",11
"39","St. Louis",11
"40","Westborough",11
"41","Appleton",10
"42","Pittsburgh",10
"43","Alpharetta",9
"44","Boston",9
"45","Burbank",9
"46","Fort Worth",9
"47","Nashville",9
"48","Billings",8
"49","Charlotte",8
"50","Chesterfield",8
"51","Clearwater",8
"52","Huntsville",8
"53","Louisville",8
"54","Minneapolis",8
"55","Plano",8
"56","Redwood City",8
"57","Sioux Falls",8
"58","Toledo",8
"59","Irving",7
"60","Jacksonville",7
"61","Morrisville",7
"62","Naperville",7
"63","Oakland",7
"64","Palo Alto",7
"65","Peoria",7
"66","Richland",7
"67","San Antonio",7
"68","San Luis Obispo",7
"69","Santa Clara Valley",7
"70","Waltham",7
"71","Winter Springs",7
"72","Basking Ridge",6
"73","Buffalo",6
"74","Carlsbad",6
"75","Columbia",6
"76","Cordova",6
"77","El Segundo",6
"78","Fort Washington",6
"79","Lake Mary",6
"80","Lakewood",6
"81","Livermore",6
"82","Melville",6
"83","Memphis",6
"84","Merritt Island",6
"85","Miami",6
"86","Miramar",6
"87","Monroeville",6
"88","Montvale",6
"89","Niles",6
"90","San Clemente",6
"91","Sun Prairie",6
"92","Weehawken",6
"93","Bedford",5
"94","Birmingham",5
"95","Burlington",5
"96","Clayton",5
"97","Coppell",5
"98","Getzville",5
"99","Grand Rapids",5
"100","Greenville",5
"101","Mendota Heights",5
"102","North Hills",5
"103","Omaha",5
"104","Plainsboro",5
"105","Richmond",5
"106","Saint Petersburg",5
"107","Somerset",5
"108","Spokane",5
"109","Warsaw",5
"110","Albany",4
"111","Billerica",4
"112","Brooklyn",4
"113","Cambridge",4
"114","Camden",4
"115","Centennial",4
"116","Costa Mesa",4
"117","Culloden",4
"118","Detroit",4
"119","Dubuque",4
"120","Durham",4
"121","Eden Prairie",4
"122","Farmington",4
"123","Fort George G Meade",4
"124","Greenwood",4
"125","Hillsboro",4
"126","Hollywood",4
"127","Inver Grove Heights",4
"128","Las Vegas",4
"129","Livonia",4
"130","Lubbock",4
"131","Malvern",4
"132","Marlton",4
"133","Mason",4
"134","Milwaukee",4
"135","Norfolk",4
"136","Oahu Island",4
"137","Palm Desert",4
"138","Park City",4
"139","Pensacola",4
"140","Preston",4
"141","Raleigh",4
"142","Reston",4
"143","Rochester",4
"144","Southfield",4
"145","Springdale",4
"146","Westerville",4
"147","White Plains",4
"148","Bellevue",3
"149","Bronx",3
"150","Carson",3
