"","state","job_opening"
"1","NY",1202
"2","CA",966
"3","TX",560
"4","IL",268
"5","NC",250
"6","DC",245
"7","VA",243
"8","MA",235
"9","WA",199
"10","PA",178
"11","GA",145
"12","CO",139
"13","MD",127
"14","MO",107
"15","OH",102
"16","AF",101
"17","TN",94
"18","FL",71
"19","CT",57
"20","NJ",50
"21","SC",37
"22","ID",29
"23","KS",26
"24",NA,25
"25","VT",24
"26","MN",20
"27","UT",15
"28","NH",14
"29","AZ",10
"30","IA",9
"31","IN",8
"32","OR",7
"33","DE",6
"34","MI",6
"35","AL",4
"36","KY",3
"37","ME",3
"38","OK",3
"39","WI",3
"40","MT",2
"41","NV",2
"42","RI",2
"43","LA",1
"44","MS",1
"45","NE",1
"46","WV",1
