"","state","jo_da"
"1","NY",374
"2","CA",177
"3","OH",148
"4","MN",131
"5","NJ",130
"6","CT",107
"7","MS",99
"8","PA",87
"9","FL",81
"10","TX",80
"11","VA",80
"12","MA",67
"13","IL",58
"14","DC",39
"15","MD",39
"16","CO",38
"17","NC",34
"18","GA",30
"19","MI",27
"20","OR",26
"21","MO",24
"22","WA",24
"23","WI",21
"24","AZ",20
"25","TN",19
"26","UT",16
"27","IN",15
"28","DE",13
"29","AR",12
"30","IA",12
"31","KS",9
"32","OK",9
"33","NH",8
"34","KY",7
"35","NV",6
"36","AK",5
"37","ID",5
"38","SC",5
"39","NE",3
"40","RI",3
"41","AF",2
"42","AL",2
"43","LA",2
"44","SD",2
"45",NA,2
"46","HI",1
"47","ME",1
"48","MT",1
"49","ND",1
"50","PR",1
"51","WV",1
