"","state","jo_ds"
"1","CA",298
"2","PA",179
"3","VA",156
"4","WA",145
"5","NJ",109
"6","MA",108
"7","FL",105
"8","NY",100
"9","OH",95
"10","DC",83
"11","AF",74
"12","CO",64
"13","TX",52
"14","MD",49
"15","IL",47
"16","GA",46
"17","NC",36
"18","MO",25
"19","MN",15
"20","AZ",14
"21","MI",14
"22","TN",14
"23","CT",13
"24","AL",11
"25","OR",10
"26","UT",8
"27","WI",7
"28",NA,7
"29","DE",6
"30","OK",6
"31","AR",4
"32","HI",4
"33","IA",4
"34","IN",4
"35","RI",4
"36","SC",4
"37","NV",3
"38","ID",2
"39","LA",2
"40","SD",2
"41","VT",2
"42","WV",2
"43","KS",1
"44","KY",1
"45","NE",1
"46","NM",1
