"","Metro","Month","Dimension","Median Base Pay"
"1","National","2017-06","Accounting & Legal","51839.0"
"2","National","2017-06","Aerospace & Defense","53780.0"
"3","National","2017-06","Architecture & Civil Engineering","52250.0"
"4","National","2017-06","Arts & Entertainment","46260.0"
"5","National","2017-06","Automotive","46481.0"
"6","National","2017-06","Banking & Financial Services","50640.0"
"7","National","2017-06","Beauty & Fitness","45219.0"
"8","National","2017-06","Biotech & Pharmaceuticals","54247.0"
"9","National","2017-06","Business Services","48941.0"
"10","National","2017-06","Computer Software & Hardware","52344.0"
"11","National","2017-06","Construction","51868.0"
"12","National","2017-06","Consulting","51411.0"
"13","National","2017-06","Consumer Electronics","43712.0"
"14","National","2017-06","Consumer Services","45409.0"
"15","National","2017-06","Education & Schools","46399.0"
"16","National","2017-06","Energy & Utilities","56482.0"
"17","National","2017-06","Facilities","46345.0"
"18","National","2017-06","Farming & Agriculture","49852.0"
"19","National","2017-06","Government","50645.0"
"20","National","2017-06","Health Care & Hospitals","49520.0"
"21","National","2017-06","Information Technology","50381.0"
"22","National","2017-06","Insurance","50539.0"
"23","National","2017-06","Internet & Tech","51360.0"
"24","National","2017-06","Manufacturing","52035.0"
"25","National","2017-06","Marketing & Advertising","48006.0"
"26","National","2017-06","Media & Publishing","48757.0"
"27","National","2017-06","Nonprofit","45867.0"
"28","National","2017-06","Private Security","45758.0"
"29","National","2017-06","Real Estate","48682.0"
"30","National","2017-06","Recruiting & Staffing","48010.0"
"31","National","2017-06","Restaurants & Bars","46718.0"
"32","National","2017-06","Retail","46034.0"
"33","National","2017-06","Supermarkets","47748.0"
"34","National","2017-06","Telecommunications","49581.0"
"35","National","2017-06","Transportation & Logistics","49157.0"
"36","National","2017-06","Travel & Tourism","46877.0"
"37","National","2017-06","Wholesale","49604.0"
"38","National","2017-07","Accounting & Legal","51680.0"
"39","National","2017-07","Aerospace & Defense","53518.0"
"40","National","2017-07","Architecture & Civil Engineering","52175.0"
"41","National","2017-07","Arts & Entertainment","46112.0"
"42","National","2017-07","Automotive","46432.0"
"43","National","2017-07","Banking & Financial Services","50481.0"
"44","National","2017-07","Beauty & Fitness","45329.0"
"45","National","2017-07","Biotech & Pharmaceuticals","54123.0"
"46","National","2017-07","Business Services","48679.0"
"47","National","2017-07","Computer Software & Hardware","52004.0"
"48","National","2017-07","Construction","51495.0"
"49","National","2017-07","Consulting","51298.0"
"50","National","2017-07","Consumer Electronics","43774.0"
"51","National","2017-07","Consumer Services","45162.0"
"52","National","2017-07","Education & Schools","46118.0"
"53","National","2017-07","Energy & Utilities","56172.0"
"54","National","2017-07","Facilities","46318.0"
"55","National","2017-07","Farming & Agriculture","49567.0"
"56","National","2017-07","Government","50582.0"
"57","National","2017-07","Health Care & Hospitals","49409.0"
"58","National","2017-07","Information Technology","50345.0"
"59","National","2017-07","Insurance","50335.0"
"60","National","2017-07","Internet & Tech","51174.0"
"61","National","2017-07","Manufacturing","51849.0"
"62","National","2017-07","Marketing & Advertising","47928.0"
"63","National","2017-07","Media & Publishing","48638.0"
"64","National","2017-07","Nonprofit","45762.0"
"65","National","2017-07","Private Security","45860.0"
"66","National","2017-07","Real Estate","48503.0"
"67","National","2017-07","Recruiting & Staffing","47738.0"
"68","National","2017-07","Restaurants & Bars","46496.0"
"69","National","2017-07","Retail","46107.0"
