,word,freq
0,bachelor degree,18
1,requirements,15
2,project management,14
3,team,12
4,project,12
5,management,12
6,problem solving,11
7,equal opportunity,10
8,analyst,10
9,analysis,9
10,development,9
11,related field,9
12,computer science,9
13,process,9
14,support,8
15,team members,8
16,knowledge,8
17,veteran status,8
18,solutions,8
19,information technology,7
20,technical,7
21,microsoft office,7
22,processes,7
23,information systems,7
24,united states,7
25,orientation gender,7
26,technology,7
27,software development,7
28,best practices,6
29,fast paced,6
30,data analysis,6
31,internal external,6
32,subject matter,6
33,essential functions,6
34,time,6
35,environment,5
36,cross functional,5
37,written communication,5
38,new,5
39,strong analytical,5
40,projects,5
41,product,5
42,high level,5
43,education bachelor,5
44,verbal written,5
45,user,5
46,senior analyst,5
47,software,5
48,user stories,5
49,services,4
50,systems analyst,4
51,needs,4
52,customer,4
53,written verbal,4
54,functional,4
55,develop,4
56,design,4
57,communication,4
58,affirmative action,4
59,duties responsibilities,4
60,opportunity,4
61,degree computer,4
62,end user,4
63,ensure,4
64,application,4
65,technology solutions,4
66,user acceptance,4
67,life cycle,4
68,customer service,4
69,responsibilities,4
70,reasonable accommodation,4
71,paced environment,4
72,ad hoc,4
73,use cases,4
74,requirements gathering,4
75,role,4
76,bachelor,4
77,process improvement,3
78,employment opportunity,3
79,duties assigned,3
80,employment,3
81,training,3
82,authorization united,3
83,working knowledge,3
84,sex sexual,3
85,testing,3
86,development team,3
87,individuals disabilities,3
88,data analytics,3
89,stakeholders,3
90,service,3
91,acceptance testing,3
92,decision making,3
93,tools,3
94,customers,3
95,reporting,3
96,client,3
97,industry,3
98,documentation,3
99,monday friday,3
100,consideration employment,3
101,functional requirements,3
102,health insurancedental,3
103,test plans,3
104,long term,3
105,verbal communication,3
106,oral written,3
107,applicants receive,3
108,help,3
109,opportunities,3
110,analytical,3
111,education,3
112,supply chain,3
113,qualifications bachelor,3
114,office,3
115,organization,3
116,identify,3
117,end users,3
118,project team,3
119,genetic information,3
120,internal,3
121,quality,3
122,test cases,3
123,location locationbenefits,3
124,analyst intern,3
125,program,3
126,reports,3
127,written,3
128,level,3
129,process improvements,3
130,development life,3
131,action employer,3
132,clients,3
133,issues,3
134,join team,3
135,locationbenefits health,3
136,test,3
137,power bi,3
138,functional specifications,3
139,policies procedures,3
140,time management,3
141,create,3
142,applications,3
143,change management,3
144,end,3
145,computer,3
146,operations,3
147,origin disability,3
148,disability veteran,3
149,identity expression,3
150,high quality,3
151,use,2
152,analytical problem,2
153,problem,2
154,responsible,2
155,employees,2
156,duties,2
157,implementation,2
158,professional,2
159,opportunity affirmative,2
160,matter experts,2
161,non technical,2
162,rochester electronics,2
163,health,2
164,perform,2
165,best,2
166,word excel,2
167,ms office,2
168,product owners,2
169,people,2
170,key,2
171,users,2
172,world,2
173,status protected,2
174,analyze,2
175,performance,2
176,microsoft,2
177,functions,2
178,document requirements,2
179,ideal candidate,2
180,perform essential,2
181,office suite,2
182,team environment,2
183,data management,2
184,master degree,2
185,agile,2
186,equal,2
187,able,2
188,multiple,2
189,applicants,2
190,global,2
191,document,2
192,scrum master,2
193,user requirements,2
194,functional technical,2
195,degree equivalent,2
196,maintain,2
197,excellent,2
198,career,2
199,senior,2
200,management information,2
201,type timeexperience,2
202,analyst role,2
203,health care,2
204,continuous improvement,2
205,levels organization,2
206,analyst responsible,2
207,employer,2
208,activities,2
209,results,2
210,benefits package,2
211,looking analyst,2
212,responsibilities include,2
213,year preferred,2
214,states required,2
215,data sources,2
216,finance accounting,2
217,excel,2
218,complex,2
219,insurance,2
220,national,2
221,recruitment agencies,2
222,personal information,2
223,meet,2
224,assist,2
225,partners,2
226,field,2
227,minimum,2
228,preferred qualifications,2
229,national general,2
230,multiple projects,2
231,key stakeholders,2
232,federal state,2
233,understand,2
234,assigned,2
235,planning,2
236,research,2
237,strong communication,2
238,functional teams,2
239,reasonable accommodations,2
240,various,2
241,finance,2
242,disability,2
243,sales,2
244,looking,2
245,include,2
246,solving,2
247,master data,2
248,preferred education,2
249,insuranceretirement planpaid,2
250,salesforce com,2
251,requirements functional,2
252,self motivated,2
253,design development,2
254,external customers,2
255,innovative solutions,2
256,critical thinking,2
257,planpaid time,2
258,employer qualified,2
259,lead,2
260,deliver,2
261,problems,2
262,solution,2
263,essential duties,2
264,development testing,2
265,data visualization,2
266,case basis,2
267,case case,2
268,required authorization,2
269,strategic initiatives,2
270,future state,2
271,process analysis,2
272,root cause,2
273,quality assurance,2
274,team player,2
275,strategic,2
276,enterprise,2
277,needed,2
278,communicate,2
279,life,2
280,plans,2
281,learn,2
282,statement fis,2
283,matter expert,2
284,excel powerpoint,2
285,data sets,2
286,management team,2
287,common capabilities,2
288,high school,2
289,year required,2
290,protected veteran,2
291,sourcing model,2
292,domains sub,2
293,products services,2
294,development teams,2
295,improve,2
296,procedures,2
297,sap,2
298,location,2
299,change,2
300,practices,2
301,make,2
302,developing,2
303,gender,2
304,agile scrum,2
305,protected law,2
306,systems processes,2
307,professional development,2
308,insurancevision insuranceretirement,2
309,working relationships,2
310,identity national,2
311,analyze data,2
312,benefits,2
313,members,2
314,relevant,2
315,providing,2
316,marketing,2
317,improvement,2
318,changes,2
319,specifications,2
320,college university,2
321,project manager,2
322,order provide,2
323,systems analysis,2
324,day day,2
325,provides,2
326,expertise,2
327,apply,2
328,effectively,2
329,products,1
330,description,1
331,develop maintain,1
332,sex national,1
333,intelligence analyst,1
334,type timesalary,1
335,knowledge abilities,1
336,effective,1
337,sql,1
338,essential,1
339,veteran,1
340,manage,1
341,year,1
342,operational,1
343,leading,1
344,delivery,1
345,define,1
346,current,1
347,value,1
348,external,1
349,organizational,1
350,equivalent,1
351,plan,1
352,protected,1
353,com,1
354,join,1
355,state,1
356,existing,1
357,gathering,1
358,drive,1
359,impact,1
360,orientation,1
