,word,freq
0,data analysis,109
1,bachelor degree,70
2,equal opportunity,66
3,computer science,60
4,problem solving,60
5,data management,54
6,data quality,50
7,data analytics,45
8,veteran status,38
9,team members,38
10,fast paced,38
11,related field,37
12,ad hoc,36
13,data sources,35
14,data sets,34
15,microsoft office,32
16,internal external,31
17,affirmative action,31
18,decision making,31
19,orientation gender,30
20,analyze data,30
21,written verbal,30
22,cross functional,28
23,high level,27
24,years data,27
25,management,26
26,data collection,26
27,project management,26
28,analysis,26
29,action employer,26
30,complex data,25
31,data science,25
32,best practices,25
33,team,25
34,opportunity affirmative,24
35,data mining,24
36,analysis data,24
37,manage multiple,24
38,data models,23
39,data warehouse,23
40,working knowledge,23
41,written communication,21
42,health care,21
43,analyzing data,21
44,information systems,21
45,location trueone,21
46,essential functions,21
47,duties responsibilities,21
48,new york,21
49,genetic information,21
50,supply chain,20
51,duties assigned,20
52,strong analytical,20
53,reporting data,20
54,position requires,20
55,data visualization,20
56,science related,20
57,data governance,20
58,degree preferred,20
59,degree computer,20
60,analyst position,20
61,new processes,19
62,verbal written,19
63,machine learning,19
64,employment opportunity,19
65,analyst,19
66,support,19
67,knowledge,18
68,high quality,18
69,reasonable accommodation,18
70,reporting,18
71,locationtruebenefits truehealth,18
72,quality data,18
73,religion sex,18
74,timely manner,18
75,identity expression,18
76,strong written,18
77,critical thinking,17
78,data systems,17
79,information technology,17
80,key stakeholders,17
81,multiple tasks,17
82,oral written,17
83,direct consumer,17
84,use data,16
85,working philips,16
86,stock trade,16
87,verbal communication,16
88,customer service,16
89,responsibilities include,16
90,realtime solutions,16
91,systems data,16
92,sql server,16
93,protected veteran,16
94,predictive analytics,15
95,data driven,15
96,strong,15
97,required years,15
98,data modeling,15
99,data reporting,15
100,disability veteran,15
101,type time,15
102,quantitative field,15
103,analyst responsible,15
104,subject matter,15
105,master data,15
106,reports,15
107,dental vision,15
108,degree,15
109,data develop,15
110,proficient microsoft,15
111,individuals disabilities,15
112,actionable insights,15
113,working,15
114,comfortable working,15
115,master degree,15
116,analyst data,14
117,using statistical,14
118,application process,14
119,advanced degree,14
120,new,14
121,requirements,14
122,statistical analysis,14
123,state local,14
124,multiple projects,14
125,applicants receive,14
126,degree equivalent,14
127,using various,14
128,knowledge abilities,14
129,data integrity,14
130,power bi,14
131,qualifications bachelor,14
132,position,14
133,preferred qualifications,14
134,raw data,14
