,word,freq
0,machine learning,170
1,data science,126
2,computer science,70
3,data sets,54
4,data analysis,44
5,big data,43
6,data mining,39
7,equal opportunity,39
8,data analytics,31
9,data scientists,31
10,sexual orientation,31
11,bachelor degree,31
12,team,30
13,national origin,28
14,analysis,27
15,related field,26
16,machine,25
17,predictive modeling,24
18,advanced analytics,24
19,veteran status,24
20,data visualization,23
21,quantitative field,22
22,deep learning,22
23,data driven,22
24,large data,22
25,models,22
26,problem solving,21
27,master degree,21
28,qualified applicants,21
29,orientation gender,21
30,statistical analysis,21
31,data sources,20
32,predictive models,20
33,large scale,20
34,fast paced,19
35,statistical modeling,19
36,statistical,19
37,real world,18
38,regard race,18
39,solutions,18
40,development,18
41,learning techniques,18
42,learning models,18
43,decision making,17
44,working,16
45,minimum years,16
46,degree computer,16
47,new,16
48,degree,16
49,science statistics,16
50,information,16
51,learning algorithms,15
52,structured unstructured,15
53,python,15
54,complex data,15
55,knowledge,15
56,develop,15
57,engineering,15
58,modeling,15
59,best practices,15
60,tools,15
61,team members,15
62,statistics,15
63,unstructured data,14
64,programming languages,14
65,technical,14
66,operations research,14
67,neural networks,14
68,techniques,14
69,cross functional,14
70,strong,14
71,united states,14
72,affirmative action,14
73,product,14
74,non technical,14
75,research,13
76,consideration employment,13
77,religion sex,13
78,problems,13
79,statistics mathematics,13
80,advanced,13
81,internal external,13
82,applicants receive,13
83,science engineering,13
84,computer,13
85,artificial intelligence,13
86,software development,13
87,predictive analytics,13
88,algorithms,12
89,data processing,12
90,complex,12
91,mathematics statistics,12
92,advanced degree,12
93,preferred,12
94,environment,12
95,science team,12
96,engineering teams,12
97,languages python,12
98,time series,12
99,using data,12
100,visualization tools,12
101,team environment,11
102,information technology,11
103,support,11
104,working knowledge,11
105,protected veteran,11
106,large,11
107,years data,11
108,senior data,11
109,natural language,11
110,analytical,11
111,years relevant,11
112,complex problems,11
113,insights,11
114,cutting edge,11
115,state art,11
116,scale data,11
117,analysis data,11
118,technology,11
119,opportunity,11
120,product development,11
121,predictive,11
122,track record,11
123,new data,11
124,ad hoc,10
125,field,10
126,management,10
127,systems,10
128,analytics team,10
129,projects,10
130,time,10
131,data engineering,10
132,design,10
133,modeling machine,10
134,sql,10
135,year preferred,10
136,language processing,10
137,world,10
138,customer,10
139,genetic information,10
140,supply chain,10
141,identity expression,10
142,join team,10
143,software,10
144,subject matter,10
145,data fusion,9
146,use,9
147,preferred qualifications,9
148,degree preferred,9
149,statistical models,9
150,written verbal,9
151,customers,9
152,analytics data,9
153,position,9
154,role,9
155,dental vision,9
156,insurancedental insurancevision,9
157,years preferred,9
158,solve problems,9
159,relational databases,9
160,insurancevision insuranceretirement,9
161,data join,9
162,help,9
163,programming,9
164,data management,9
165,verbal written,9
166,equal employment,9
167,field years,9
168,employer qualified,9
169,actionable insights,9
170,data collection,9
171,high quality,9
172,data models,9
173,programming language,9
174,individuals disabilities,9
175,requirements,9
176,design develop,9
177,make recommendations,9
178,written communication,9
179,make,9
180,ai ml,8
181,models algorithms,8
182,quantitative,8
183,sql python,8
184,services,8
185,drive,8
186,results,8
187,based,8
188,employment,8
189,python sql,8
190,data pipelines,8
191,solve complex,8
192,provide,8
193,ideal candidate,8
194,sets,8
195,using statistical,8
196,scikit learn,8
197,people,8
198,verbal communication,8
199,opportunities,8
200,open source,8
201,field computer,8
202,sex sexual,8
203,science mathematics,8
204,big,8
205,math statistics,8
206,mathematics,8
207,industry,8
208,learning data,8
209,organization,8
210,performance,7
211,years required,7
212,high,7
213,looking data,7
214,analyze data,7
215,python java,7
216,red violet,7
217,degree quantitative,7
218,10 years,7
219,data modeling,7
220,action employer,7
