title,company,empn_rate,posted_time,location,salary,preview,link,job_key,empn_id,job_type
Engineer Intern (Data Engineering team),Virgin Pulse,3.6,9 days ago,"Providence, RI",NA,"Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing.In a typical day you may:",http://www.indeed.com/rc/clk?jk=a232faa81b65b68c&fccid=0125a23c2d483263&vjs=3,a232faa81b65b68c,NA,internship
Big Data Engineer,Eateam,NA,9 days ago,"Los Angeles, CA",NA,At least 5 yrs Experience with data processing in spark and python..Excellent communication and interpersonal skills..,http://www.indeed.com/company/Eateam/jobs/Big-Data-Engineer-ab9a366555b74b40?fccid=1cc48fd2328742b1&vjs=3,ab9a366555b74b40,NA,internship
"Data Engineer Intern, Summer 2020",Illumio,4.2,18 days ago,"Sunnyvale, CA 94085",NA,"Data software engineers at Illumio develop innovative solutions and high-quality products, you will work on our core products with a Senior member of the team.",http://www.indeed.com/rc/clk?jk=1e80f8777fe3f3f7&fccid=cfd0e075fb293654&vjs=3,1e80f8777fe3f3f7,NA,internship
Data Engineer and Machine Learning Intern,Hewlett Packard Enterprise,3.7,23 days ago,"San Jose, CA",NA,Data management and hygiene: Large scale data sets need continuous data –hygiene processes for optimal performance.Want to know more about it?,http://www.indeed.com/rc/clk?jk=d7aa6916ac1a97d2&fccid=216eb700022de6f6&vjs=3,d7aa6916ac1a97d2,NA,internship
Data Engineer Intern - Summer 2020,Fanatics Inc.,3.7,30+ days ago,"San Mateo, CA",NA,Designs and develops interfaces to RESTful APIs by setting expectations and features priorities throughout development life cycle.,http://www.indeed.com/rc/clk?jk=0e82ba492c2b9ded&fccid=316c778b7bc10b48&vjs=3,0e82ba492c2b9ded,NA,internship
Data Engineer - 2020 Summer Intern,Cox Automotive,3.4,30+ days ago,"Atlanta, GA 30319",NA,Learn professional data engineering practices.Join a Data Enablement Engineering team.If you picked the latter then:Get an entire team as a mentor.,http://www.indeed.com/rc/clk?jk=e699396259b6bbf6&fccid=7e465a3d521b3ac3&vjs=3,e699396259b6bbf6,NA,internship
Robotics Engineer Intern - Sensor Data - Summer 2020,Magna Corporate,3.7,30+ days ago,"Troy, MI",NA,"Study effects of sensor data fusion on object localization robustness and accuracy.Develop software to implement calibration, data sampling, registration…",http://www.indeed.com/rc/clk?jk=313d528652167f49&fccid=254ad00cf333484f&vjs=3,313d528652167f49,NA,internship
Data Science Engineer - Intern - Spring,Lovingly,3.3,30+ days ago,"Fishkill, NY",$20 an hour,A Lovingly data science engineer is a full stack developer with emphasis on identifying and solving business trends and problems through complex big data…,http://www.indeed.com/rc/clk?jk=f4ac2b301d8922ea&fccid=840c345ea11e9345&vjs=3,f4ac2b301d8922ea,NA,internship
Software Engineer-Data Science PHD (Intern)-United States Du...,Cisco Careers,4.1,30+ days ago,"Austin, TX",NA,Please use the link below for details about the position.,http://www.indeed.com/rc/clk?jk=c301e11b0250a1e7&fccid=dfc44f3b8c44a6db&vjs=3,c301e11b0250a1e7,NA,internship
Intern- RDA Data Systems Engineer 2,Micron,3.8,30+ days ago,"Manassas, VA",NA,"Working closely with internal customers to improve data response.As a Real-time Defect Analysis (RDA) Intern at Micron Technology, Inc. in Manassas, VA, you…",http://www.indeed.com/rc/clk?jk=55b1606f5845c523&fccid=be240c643a8631c5&vjs=3,55b1606f5845c523,NA,internship
Software Engineer in Test Intern - Data Analysis,MathWorks,4.0,30+ days ago,"Natick, MA 01760",NA,As an intern you will work on technical projects with our experienced software engineers.You will have the opportunity to gain practical knowledge of software…,http://www.indeed.com/rc/clk?jk=6faa0d79df92da8b&fccid=20ccf7980496f3a8&vjs=3,6faa0d79df92da8b,NA,internship
"Security Engineer Intern, Data Science (Online Safety)",Facebook,4.2,30+ days ago,"Menlo Park, CA",NA,Our engineers and data scientists collaborate closely with other product engineering teams on safety features across the company.,http://www.indeed.com/rc/clk?jk=0bc29b6d70ee7e60&fccid=1639254ea84748b5&vjs=3,0bc29b6d70ee7e60,NA,internship
Data Engineer Internship,Wellmark,4.0,30+ days ago,"Des Moines, IA",NA,"Currently enrolled as a Junior or Senior undergraduate student or in a graduate-level program in Data Analytics, Management Information Systems, Information…",http://www.indeed.com/rc/clk?jk=babef46def9752ac&fccid=add7a13d6c55ff59&vjs=3,babef46def9752ac,NA,internship
"Data Engineer Intern, Infrastructure Data Centers",Facebook,4.2,30+ days ago,"Fremont, CA",NA,The Data Center Analytics team is seeking a Data Engineer Intern to join the Data Center Data Science Team.Data engineer is responsible to source large amount…,http://www.indeed.com/rc/clk?jk=1eab0452cff5d8ab&fccid=1639254ea84748b5&vjs=3,1eab0452cff5d8ab,NA,internship
"Network Operations Engineer Intern, Infrastructure Data Cent...",Facebook,4.2,30+ days ago,"Fremont, CA",NA,"Being data driven with an ability to use metrics, KPI and SLOs will allow continuous maturity improvements.You must be able to evaluate, deconstruct, document,…",http://www.indeed.com/rc/clk?jk=1847201cd10a4c5b&fccid=1639254ea84748b5&vjs=3,1847201cd10a4c5b,NA,internship
"Robotics Engineer Intern, Infrastructure Data Centers",Facebook,4.2,30+ days ago,"Fremont, CA",NA,Familiar with data analysis tools and/or experience working with data analysts.As we design and build these systems Facebook engineers encounter grand…,http://www.indeed.com/rc/clk?jk=858605b0a1505682&fccid=1639254ea84748b5&vjs=3,858605b0a1505682,NA,internship
"Network Automation Engineer Intern, Infrastructure Data Cent...",Facebook,4.2,30+ days ago,"Fremont, CA",NA,You'll work very closely with our partners in integrating new processes into our production network.Overall you will be providing support across our production…,http://www.indeed.com/rc/clk?jk=643ef5db51d67d52&fccid=1639254ea84748b5&vjs=3,643ef5db51d67d52,NA,internship
