title,company,empn_rate,posted_time,location,salary,preview,link,job_key,empn_id,job_type
Product Development Engineer Intern,Intel,4.1,Just posted,"Folsom, CA 95630",NA,They deliver disruptive solutions that are transforming computing across all segments from Internet Portal Data Centers IPDCs to Consumer Client Devices such as…,http://www.indeed.com/rc/clk?jk=ebc782e31ea588a4&fccid=f1374be6a45f4b8a&vjs=3,ebc782e31ea588a4,NA,internship
Business Operations Intern,drchrono,2.9,Today,"Hunt Valley, MD",NA,"Use the data to make efficient and standard business processes.We require that our interns work on-site at our Chronoplex in Hunt Valley, Maryland.",http://www.indeed.com/rc/clk?jk=fe07bb9e5f259ff3&fccid=c6004cddcc0d527d&vjs=3,fe07bb9e5f259ff3,NA,internship
Machine Learning Intern,Huntington Ingalls Industries (HII-MDIS),3.8,Today,"Annapolis Junction, MD",NA,"To model behaviors, detect anomalies, cluster data, and ultimately create actionable information.Experience or strong interest in Machine Learning or Data…",http://www.indeed.com/rc/clk?jk=f7f7268defcf4bd2&fccid=9f2bb83bd9bfe2fc&vjs=3,f7f7268defcf4bd2,NA,internship
IT Internship,Circadence Corporation,3.0,1 day ago,"San Diego, CA 92123",NA,"Learn to write reports, conducting research and to analyze data.Successful candidates will be a part of a dynamic team of engineers working on a training…",http://www.indeed.com/rc/clk?jk=7d9666e730d0a24d&fccid=ad3f23d525935ca8&vjs=3,7d9666e730d0a24d,NA,internship
Governor's Summer Intern- Pavement Research Engineer,State of Indiana,3.5,1 day ago,"West Lafayette, IN 47906",$11.30 an hour,"To assist research engineers in performing a broad range of pavement/material studies, data collection, and data analysis.To analyze lab and field test data.",http://www.indeed.com/rc/clk?jk=3692b035ec93eb83&fccid=549e3fa32b4b50b5&vjs=3,3692b035ec93eb83,NA,internship
Manufacturing Engineering Intern,Claas Omaha LLC,NA,1 day ago,"Omaha, NE 68138",NA,"Data experience: Standards and prints.The Manufacturing Engineer Intern is responsible for supporting time study, assembly improvement, engineering change,…",http://www.indeed.com/rc/clk?jk=0e4a2898c225a790&fccid=c01300ea3d3b4140&vjs=3,0e4a2898c225a790,NA,internship
Quality & Reliability Intern,Intel,4.1,1 day ago,"Folsom, CA 95630",NA,Statistics and statistical data analysis.Ability to interpret and analyze data.Working with lead engineers to provide feedback to partner engineering group on…,http://www.indeed.com/rc/clk?jk=53ffd0631991f8d1&fccid=f1374be6a45f4b8a&vjs=3,53ffd0631991f8d1,NA,internship
Engineer Intern (Data Engineering team),Virgin Pulse,3.5,2 days ago,"Providence, RI",NA,"Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing.In a typical day you may:",http://www.indeed.com/rc/clk?jk=a232faa81b65b68c&fccid=0125a23c2d483263&vjs=3,a232faa81b65b68c,NA,internship
Big Data Engineer,Eateam,NA,2 days ago,"Chicago, IL 60606 (Loop area)",NA,8-10 Yrs experienced Big Data Engineer..At least 5 yrs Experience with data processing in spark and python..,http://www.indeed.com/company/Eateam/jobs/Big-Data-Engineer-ca3850427c06d360?fccid=1cc48fd2328742b1&vjs=3,ca3850427c06d360,NA,internship
INTERN - IT Quality Assurance,State of Arizona,3.6,2 days ago,"Phoenix, AZ",Up to $18 an hour,"Programming and data structure knowledge.Learn how to create test plans, test cases and generate test data.Connect with us: azdeq.gov LinkedIn.",http://www.indeed.com/rc/clk?jk=f28570c14cc3ab2d&fccid=ac9531a4aa5791eb&vjs=3,f28570c14cc3ab2d,NA,internship
