title,company,empn_rate,posted_time,location,salary,preview,link,job_key,empn_id,job_type
Machine Learning Intern,Huntington Ingalls Industries (HII-MDIS),3.8,Today,"Annapolis Junction, MD",NA,"As a Machine Learning Intern, you will join a team applying cutting edge Machine Learning to the cybersecurity domain.",http://www.indeed.com/rc/clk?jk=f7f7268defcf4bd2&fccid=9f2bb83bd9bfe2fc&vjs=3,f7f7268defcf4bd2,NA,internship
Data Science & Analytics Intern (Summer 2020),iCIMS,3.4,2 days ago,"Holmdel, NJ",NA,"We’re looking for an analytical, detail-oriented problem-solver to join our team for a Summer 2020 Data Science and Analytics Internship, where you’ll work…",http://www.indeed.com/rc/clk?jk=51f39e569dae4585&fccid=6b2a588778cfa2b0&vjs=3,51f39e569dae4585,NA,internship
Summer Intern of Statistics,StataCorp,4.0,2 days ago,"College Station, TX 77845",NA,StataCorp is seeking a statistical intern.Interns work with a senior member of Stata’s development team.This position may include projects in the areas of…,http://www.indeed.com/rc/clk?jk=d1f8b04e41f4047f&fccid=196648f7df3597ae&vjs=3,d1f8b04e41f4047f,NA,internship
2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,4.0,3 days ago,"Savannah, GA",NA,"The candidate must have experience with data wrangling, machine learning, data analytics, and statistical analysis.This is for a Summer Intern Position.",http://www.indeed.com/rc/clk?jk=64efd1872b298996&fccid=0d5bff22af9052ec&vjs=3,64efd1872b298996,NA,internship
Statistician Intern,Advocate Health Care,3.7,3 days ago,"Rolling Meadows, IL 60008",NA,"Formed as a care management collaboration with Advocate Health Care, APP supports its physician members in managing the health of their practices with…",http://www.indeed.com/rc/clk?jk=55d62a450dfd4ecb&fccid=62ed85545b0a67b6&vjs=3,55d62a450dfd4ecb,NA,internship
"Intern, Finance Data Science",Autodesk,4.1,4 days ago,"San Francisco, CA",NA,"Prior experience dealing with data processing, modelling or analytics.A mix of previous internship, school project, volunteer and leadership experience is also…",http://www.indeed.com/rc/clk?jk=08898adf769c3682&fccid=7136762d065a5ad7&vjs=3,08898adf769c3682,NA,internship
Intern - Data Science and Visualization,Fulton Financial Corporation,3.3,4 days ago,"Lancaster, PA",NA,"Data architecture, data engineering, data analytics, Big Data, data visualization data quality, SQL, data governance, data quality, source to target mapping,…",http://www.indeed.com/rc/clk?jk=312a3134f33c64d1&fccid=8721517269d39f0d&vjs=3,312a3134f33c64d1,NA,internship
Research Intern - Machine Learning - Microsoft Research New...,Microsoft,4.2,4 days ago,"New York, NY",NA,Microsoft Research New York seeks outstanding Machine Learning intern applicants for Summer 2020.If you need assistance and/or a reasonable accommodation due…,http://www.indeed.com/rc/clk?jk=57686e5398ce23ca&fccid=734cb5a01ee60f80&vjs=3,57686e5398ce23ca,NA,internship
Data Science Intern,Data Science Dojo,NA,4 days ago,"Redmond, WA 98052",NA,"Assist in various data science projects, including curating blog posts and video tutorials, researching relevant topics on machine learning and big data,…",http://www.indeed.com/company/Data-Science-Dojo/jobs/Data-Science-Intern-82bdb502134442f1?fccid=c9f439546a73d13e&vjs=3,82bdb502134442f1,NA,internship
Data Science Interactive Content Developer Intern,Data Science Dojo,NA,4 days ago,"Redmond, WA 98052",NA,"As the Interactive Content Developer Intern with Data Science Dojo, you will have the opportunity to work closely with subject matter experts and other content…",http://www.indeed.com/company/Data-Science-Dojo/jobs/Data-Science-Interactive-Content-Developer-Intern-0b2411ccc4ca1e6b?fccid=c9f439546a73d13e&vjs=3,0b2411ccc4ca1e6b,NA,internship
Applied ML Engineer - Intern,Determined AI,NA,4 days ago,"San Francisco, CA",NA,"As an Applied Machine Learning Engineer Intern, you will be one of our internal resident experts for machine learning and model development.",http://www.indeed.com/rc/clk?jk=473d12ddfd2d33ef&fccid=ee7202a1292616be&vjs=3,473d12ddfd2d33ef,NA,internship
Internship: Machine learning for Contact-rich Robotic Manipu...,Mitsubishi Electric Research Labs,3.9,5 days ago,"Cambridge, MA 02139 (Area IV area)",NA,"The ideal candidate is expected to have expertise both in machine learning techniques, such as Gaussian Process Regression and Deep Neural Networks, as well as…",http://www.indeed.com/rc/clk?jk=b60cfb72fe11f4d9&fccid=5c9fd319bc2040d1&vjs=3,b60cfb72fe11f4d9,NA,internship
Data Science Intern for I-Bank - NLP & Predictive Analytics,Helm Capital,NA,6 days ago,"Santa Monica, CA",NA,"How and when to apply what models, predictive analytics are highly interesting to us, cohort & cluster analysis, logistic regression, machine learning models …",http://www.indeed.com/company/Helm-Capital/jobs/Data-Science-Intern-Bank-bf2022b03a1f1e9a?fccid=7618ffd5d857e76a&vjs=3,bf2022b03a1f1e9a,NA,internship
Data Scientist Intern (Summer 2020),BCGDV,NA,7 days ago,"New York, NY",NA,"Experience in statistical modeling and/or machine learning.We are looking for students currently pursing degrees in Computer Science, Engineering or a related…",http://www.indeed.com/rc/clk?jk=ea0795cc6b9c3971&fccid=4ba82948cca7223e&vjs=3,ea0795cc6b9c3971,NA,internship
Data Science Intern,Bayer,4.2,9 days ago,"Berkeley, CA",NA,"Work with process Subject Matter Experts (SMEs) on advanced analytics of their process data,utilizing respective tools.Data Science and programming skills.",http://www.indeed.com/rc/clk?jk=81d40c05b2daf1c0&fccid=e08122e0e993cc32&vjs=3,81d40c05b2daf1c0,NA,internship
Data Science Intern,Meltwater,3.5,10 days ago,"Raleigh, NC",NA,"We are looking for a talented individual to work in the area of machine learning.Candidate needs to be able to understand research papers, design algorithms…",http://www.indeed.com/rc/clk?jk=ae2a3ace4e49ee43&fccid=34ec55445403e4a3&vjs=3,ae2a3ace4e49ee43,NA,internship
Amplify Summer 2020 - Data Scientist Intern,City National Bank,3.7,11 days ago,"Los Angeles, CA",NA,"Experience with data cleaning, data mining, machine learning and/or artificial intelligence.Business, predictive analytics, big data, and programming) by…",http://www.indeed.com/rc/clk?jk=ab7be303e2b1fc31&fccid=fcc08bf9b47571ef&vjs=3,ab7be303e2b1fc31,NA,internship
Intern- Analytics & Data Science - Summer 2020,Blue Cross Blue Shield of Arizona,3.8,11 days ago,"Phoenix, AZ 85021 (North Mountain area)",NA,"College-level coursework related to actuarial science, mathematics, economics, statistics, analytics, data science, healthcare administration, biostatistics,…",http://www.indeed.com/rc/clk?jk=0263cdd9aecfe6a9&fccid=4fe54963af81755f&vjs=3,0263cdd9aecfe6a9,NA,internship
Data Science Internship,C Spire,3.6,10 days ago,"Ridgeland, MS 39157",NA,"As a Data Scientist Intern for C Spire, you will work side-by-side with other Data Scientists to organize and interpret data to inform decision makers, drive…",http://www.indeed.com/rc/clk?jk=4ddf200a161d5613&fccid=68d982e8067abd53&vjs=3,4ddf200a161d5613,NA,internship
"Data Scientist Intern, SBG Small Business Group (PhD)",Facebook,4.2,10 days ago,"San Francisco, CA",NA,"1+ years of experience in a data science or analytics capacity in a business strategy, marketing, finance, engineering, research or analytics organization.",http://www.indeed.com/rc/clk?jk=a8565d91c6a9b31d&fccid=1639254ea84748b5&vjs=3,a8565d91c6a9b31d,NA,internship
Machine Learning Internship (Neurips 2019),Apple,4.2,11 days ago,"Santa Clara Valley, CA 95014",NA,"The team pursues research & development in the areas of machine learning (ML) with particular focus on deep learning (DL), computer vision (CV), Natural…",http://www.indeed.com/rc/clk?jk=93df087c3fd6e904&fccid=c1099851e9794854&vjs=3,93df087c3fd6e904,NA,internship
"Product Data Scientist, Internship",Civis Analytics,2.8,10 days ago,"Chicago, IL",NA,"Experience using applied statistics, optimization, or machine learning.Specialization in a particular area of statistics or machine learning (e.g., survey…",http://www.indeed.com/rc/clk?jk=4dade4fa76063ef5&fccid=85806092f576a90e&vjs=3,4dade4fa76063ef5,NA,internship
"Intern, Automation and Data Science",JM Family,3.9,7 days ago,"Deerfield Beach, FL 33442",NA,"Actively pursuing an undergraduate degree at an accredited college or university in Machine Learning, Data Mining or a closely related field.",http://www.indeed.com/rc/clk?jk=31d704fc162f1ffb&fccid=d24e0c1ae98aa8d9&vjs=3,31d704fc162f1ffb,NA,internship
Machine Learning Engineer Intern,Lenovo,3.9,10 days ago,"Morrisville, NC 27560",NA,Lenovo's Cloud & Software Engineering Lab is seeking a Machine Learning Intern to join our 2020 Summer Internship Program.,http://www.indeed.com/rc/clk?jk=c890e4fa9aa36bb2&fccid=af103eaff391cdf0&vjs=3,c890e4fa9aa36bb2,NA,internship
"Data Scientist Intern, SBG Small Business Group (MBA)",Facebook,4.2,10 days ago,"San Francisco, CA",NA,"1+ years of experience in a data science or analytics capacity in a business strategy, marketing, finance, engineering, research or analytics organization.",http://www.indeed.com/rc/clk?jk=6e8fa428182b39f9&fccid=1639254ea84748b5&vjs=3,6e8fa428182b39f9,NA,internship
Intern - Personalized Healthcare Data Science - Product Deve...,Genentech,4.1,13 days ago,"South San Francisco, CA 94083",NA,The intern will focus on applying natural language processing and machine learning on large amounts of unstructured medical note data for the purpose of…,http://www.indeed.com/rc/clk?jk=65eeac91f3e7f43a&fccid=2525cc4a9a704809&vjs=3,65eeac91f3e7f43a,NA,internship
Embedded Machine Learning Intern for Sensors and Edge Device...,Bosch Group,4.1,8 days ago,"Sunnyvale, CA 94085",NA,As part of the team that specializes in systems and algorithm for new sensor concepts the Intern is primarily responsible for development and implementation of…,http://www.indeed.com/rc/clk?jk=71e3147a348814dd&fccid=a2faf1301ac6ad4b&vjs=3,71e3147a348814dd,NA,internship
Data Science Intern,Safety-Kleen,3.3,7 days ago,"Norwell, MA",NA,"Pursuing a Master or Bachelor’s degree in Statistics, Data Science, Data Analytics, Economics, Mathematics, Computer/Business Information Systems;",http://www.indeed.com/company/Safety--Kleen/jobs/Data-Science-Intern-18c9e70c03e679c8?fccid=c808eba1c98b401d&vjs=3,18c9e70c03e679c8,NA,internship
Artificial Intelligence Software Intern,Intel,4.1,11 days ago,"Hillsboro, OR 97124",NA,"Machine learning, analytics, deep learning fundamentals.Experience listed below would be obtained through a combination of your school work/classes/research…",http://www.indeed.com/rc/clk?jk=45169f992336e692&fccid=f1374be6a45f4b8a&vjs=3,45169f992336e692,NA,internship
Embedded Machine Learning Research Intern,Bosch Group,4.1,8 days ago,"Sunnyvale, CA 94085",NA,"As part of the team that specializes in systems and algorithm for new sensor concepts, the Intern is primarily responsible for the implementation of machine…",http://www.indeed.com/rc/clk?jk=9ecdff2df5cfa13d&fccid=a2faf1301ac6ad4b&vjs=3,9ecdff2df5cfa13d,NA,internship
2020 Summer Internship - MIS Data Analyst/Scientist - Phoeni...,Freeport McMoRan,4.1,7 days ago,"Phoenix, AZ 85004 (Central City area)",NA,"Assist with the deployment of ensemble machine learning methods, deep learning, and advanced optimization techniques to drill into our toughest challenges.",http://www.indeed.com/rc/clk?jk=f0017d3b6edf0ee4&fccid=2e1d4d51c6f0e2bb&vjs=3,f0017d3b6edf0ee4,NA,internship
Data Analytics/Artificial Intelligence Intern,"Fortech Energy, Inc.",NA,9 days ago,"Tempe, AZ",NA,"Work with project lead/manager to provide technical assessment, solution proposal, and development support.You will be learning core SQL concepts and critical…","http://www.indeed.com/company/Fortech-Energy-Inc.,/jobs/Data-Analytic-Artificial-Intelligence-Intern-d54ab81fe6dc2a50?fccid=71907356626277c5&vjs=3",d54ab81fe6dc2a50,NA,internship
Machine Learning Software Compiler Intern,Marvell,3.4,10 days ago,"Santa Clara, CA",NA,Machine Learning group at Marvell designs and develops accelerator devices and solutions for machine learning.Enhance and maintain existing ML SW components.,http://www.indeed.com/rc/clk?jk=d1b3825b40d609c2&fccid=749488582f5dfbfe&vjs=3,d1b3825b40d609c2,NA,internship
Data Science Intern,ServiceLink Information Technology,3.0,8 days ago,"Pittsburgh, PA",NA,"Ability to understand cutting-edge research in field of Deep Learning, Machine Learning from scientific journal papers and implement them using Python code to…",http://www.indeed.com/rc/clk?jk=e65760167bcb42d3&fccid=ca3449ec6925b9cd&vjs=3,e65760167bcb42d3,NA,internship
"Summer 2020 Intern, Machine Learning",ANSYS,3.8,9 days ago,"San Jose, CA 95134 (North San Jose area)",NA,"Create datasets, label data and train machine learning algorithms using deep learning or reinforcement learning techniques.",http://www.indeed.com/rc/clk?jk=190aeebfe00281e5&fccid=e406c09ee3475804&vjs=3,190aeebfe00281e5,NA,internship
Geoinformatics & Data Science Intern,Defenders of Wildlife,3.6,7 days ago,"Washington, DC",NA,"Skill development will vary with the specific project, but the intern will generally have the opportunity to develop programming and analytical skills,…",http://www.indeed.com/rc/clk?jk=2d789de9636fd22d&fccid=337442c0664dd306&vjs=3,2d789de9636fd22d,NA,internship
