Metro	Dimension Type	Month	Dimension	Measure	Value	YoY
National	Job Title	2019-10	Accountant	Median Base Pay	$ 57,854	1.4%
National	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 42,411	2.4%
National	Job Title	2019-10	Attorney	Median Base Pay	$ 99,562	1.1%
National	Job Title	2019-10	Bank Teller	Median Base Pay	$ 32,250	2.4%
National	Job Title	2019-10	Barista	Median Base Pay	$ 25,141	2.8%
National	Job Title	2019-10	Bartender	Median Base Pay	$ 34,854	1.2%
National	Job Title	2019-10	Business Analyst	Median Base Pay	$ 66,865	1.4%
National	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 69,905	-2.0%
National	Job Title	2019-10	Buyer	Median Base Pay	$ 60,078	3.1%
National	Job Title	2019-10	Cashier	Median Base Pay	$ 28,016	2.9%
National	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 29,166	3.4%
National	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 71,376	2.2%
National	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 54,963	3.3%
National	Job Title	2019-10	Communications Manager	Median Base Pay	$ 69,709	-0.0%
National	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 42,942	6.1%
National	Job Title	2019-10	Consultant	Median Base Pay	$ 75,085	1.4%
National	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 54,892	0.6%
National	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 38,578	3.7%
National	Job Title	2019-10	Data Analyst	Median Base Pay	$ 62,795	3.3%
National	Job Title	2019-10	Data Scientist	Median Base Pay	$ 98,153	0.3%
National	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 40,860	1.2%
National	Job Title	2019-10	Design Engineer	Median Base Pay	$ 74,727	2.5%
National	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 80,858	1.9%
National	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 36,005	3.3%
National	Job Title	2019-10	Field Engineer	Median Base Pay	$ 70,756	1.6%
National	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 56,141	1.5%
National	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 65,303	1.8%
National	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 46,173	0.7%
National	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 71,136	-0.9%
National	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 41,956	2.2%
National	Job Title	2019-10	IT Manager	Median Base Pay	$ 86,323	2.5%
National	Job Title	2019-10	Java Developer	Median Base Pay	$ 78,354	1.1%
National	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 44,159	1.4%
National	Job Title	2019-10	Loan Officer	Median Base Pay	$ 47,850	0.6%
National	Job Title	2019-10	Machine Operator	Median Base Pay	$ 41,045	4.3%
National	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 46,506	4.8%
National	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 40,747	-0.2%
National	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 75,978	2.3%
National	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 68,807	1.4%
National	Job Title	2019-10	Material Handler	Median Base Pay	$ 37,385	2.3%
National	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 77,585	1.7%
National	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 34,087	2.3%
National	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 55,891	2.1%
National	Job Title	2019-10	Office Manager	Median Base Pay	$ 48,681	2.4%
National	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 56,585	-0.2%
National	Job Title	2019-10	Operations Manager	Median Base Pay	$ 70,299	1.5%
National	Job Title	2019-10	Paralegal	Median Base Pay	$ 50,983	1.8%
National	Job Title	2019-10	Pharmacist	Median Base Pay	$ 125,508	-1.1%
National	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 32,485	4.5%
National	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 77,916	3.1%
National	Job Title	2019-10	Process Engineer	Median Base Pay	$ 81,084	1.2%
National	Job Title	2019-10	Producer	Median Base Pay	$ 53,560	3.2%
National	Job Title	2019-10	Product Manager	Median Base Pay	$ 96,995	1.6%
National	Job Title	2019-10	Production Manager	Median Base Pay	$ 69,014	1.8%
National	Job Title	2019-10	Professor	Median Base Pay	$ 89,795	2.1%
National	Job Title	2019-10	Program Manager	Median Base Pay	$ 75,811	0.6%
National	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 70,982	2.3%
National	Job Title	2019-10	Project Manager	Median Base Pay	$ 76,283	1.0%
National	Job Title	2019-10	Property Manager	Median Base Pay	$ 53,214	1.9%
National	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 75,052	2.5%
National	Job Title	2019-10	Recruiter	Median Base Pay	$ 52,835	3.3%
National	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 68,513	1.7%
National	Job Title	2019-10	Research Assistant	Median Base Pay	$ 31,264	2.3%
National	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 28,982	0.6%
National	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 50,741	1.6%
National	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 31,113	4.6%
National	Job Title	2019-10	Sales Manager	Median Base Pay	$ 65,370	3.3%
National	Job Title	2019-10	Sales Representative	Median Base Pay	$ 49,920	2.6%
National	Job Title	2019-10	Security Officer	Median Base Pay	$ 36,717	4.9%
National	Job Title	2019-10	Server	Median Base Pay	$ 34,543	2.3%
National	Job Title	2019-10	Software Engineer	Median Base Pay	$ 90,183	2.1%
National	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 108,784	1.2%
National	Job Title	2019-10	Store Manager	Median Base Pay	$ 50,519	1.9%
National	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 81,152	2.1%
National	Job Title	2019-10	Tax Manager	Median Base Pay	$ 90,440	0.9%
National	Job Title	2019-10	Teacher	Median Base Pay	$ 48,700	2.6%
National	Job Title	2019-10	Technical Editor	Median Base Pay	$ 52,588	2.1%
National	Job Title	2019-10	Technical Support	Median Base Pay	$ 47,225	1.6%
National	Job Title	2019-10	Technician	Median Base Pay	$ 47,961	2.7%
National	Job Title	2019-10	Truck Driver	Median Base Pay	$ 56,117	2.8%
National	Job Title	2019-10	UX Designer	Median Base Pay	$ 78,043	1.2%
National	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 43,222	5.4%
National	Job Title	2019-10	Web Designer	Median Base Pay	$ 55,047	1.3%
National	Job Title	2019-10	Web Developer	Median Base Pay	$ 68,307	3.6%
Atlanta	Job Title	2019-10	Accountant	Median Base Pay	$ 59,704	1.5%
Atlanta	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 44,265	2.5%
Atlanta	Job Title	2019-10	Attorney	Median Base Pay	$ 107,300	1.2%
Atlanta	Job Title	2019-10	Bank Teller	Median Base Pay	$ 33,213	2.5%
Atlanta	Job Title	2019-10	Barista	Median Base Pay	$ 22,953	2.9%
Atlanta	Job Title	2019-10	Bartender	Median Base Pay	$ 36,317	1.3%
Atlanta	Job Title	2019-10	Business Analyst	Median Base Pay	$ 73,472	1.5%
Atlanta	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 75,096	-1.9%
Atlanta	Job Title	2019-10	Buyer	Median Base Pay	$ 61,222	3.2%
Atlanta	Job Title	2019-10	Cashier	Median Base Pay	$ 26,531	3.0%
Atlanta	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 26,805	3.5%
Atlanta	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 71,264	2.3%
Atlanta	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 51,261	3.4%
Atlanta	Job Title	2019-10	Communications Manager	Median Base Pay	$ 75,273	0.1%
Atlanta	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 38,714	6.2%
Atlanta	Job Title	2019-10	Consultant	Median Base Pay	$ 87,892	1.5%
Atlanta	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 55,069	0.7%
Atlanta	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 39,648	3.8%
Atlanta	Job Title	2019-10	Data Analyst	Median Base Pay	$ 67,435	3.3%
Atlanta	Job Title	2019-10	Data Scientist	Median Base Pay	$ 102,846	0.4%
Atlanta	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 39,737	1.3%
Atlanta	Job Title	2019-10	Design Engineer	Median Base Pay	$ 74,508	2.6%
Atlanta	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 80,594	2.0%
Atlanta	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 38,183	3.4%
Atlanta	Job Title	2019-10	Field Engineer	Median Base Pay	$ 68,254	1.7%
Atlanta	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 54,638	1.7%
Atlanta	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 67,391	1.9%
Atlanta	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 51,656	0.8%
Atlanta	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 77,813	-0.8%
Atlanta	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 36,706	2.3%
Atlanta	Job Title	2019-10	IT Manager	Median Base Pay	$ 102,331	2.6%
Atlanta	Job Title	2019-10	Java Developer	Median Base Pay	$ 81,544	1.2%
Atlanta	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 45,372	1.5%
Atlanta	Job Title	2019-10	Loan Officer	Median Base Pay	$ 46,178	0.7%
Atlanta	Job Title	2019-10	Machine Operator	Median Base Pay	$ 39,331	4.4%
Atlanta	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 49,824	4.9%
Atlanta	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 38,315	-0.1%
Atlanta	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 75,763	2.4%
Atlanta	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 77,436	1.5%
Atlanta	Job Title	2019-10	Material Handler	Median Base Pay	$ 35,530	2.4%
Atlanta	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 77,627	1.8%
Atlanta	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 34,655	2.4%
